keywords,sentiment_coeff,TFIDF
committed,-1.2009873050999933,0.0
mad,1.4671298929689718,0.0
prince,1.1382988674502592,0.0
thirty,-1.0154473941953608,0.0
recovered,1.2679054375470251,0.0
tried,1.3371941911621497,0.0
failed,-1.1358380204859981,0.0
pay,1.071441151378992,0.0
sell,-1.1216426036101683,0.0
attempts,-1.388463600541261,0.0
result,-1.3121183899674502,0.0
sign,1.1626637002822742,0.0
absolutely,-1.0548409130192449,0.0
laughed,1.4805459001672294,0.0
pretty,1.210089341576685,0.0
serious,-1.106388545900044,0.0
propose,1.1667410320336389,0.0
ruin,-1.1398678454311053,0.0
married,1.187611978560103,0.0
second,-1.0875410680896278,0.0
daughter,1.2910444207975,0.0
strict,-1.3699535261155626,0.0
principles,-1.2420077745194038,0.0
shadow,1.0253201801165923,0.0
conduct,-1.1577954835546456,0.0
bring,1.1346067997626599,0.0
send,1.2072570210480154,0.0
steel,-1.1734791468132315,0.0
beautiful,1.292683864913931,0.0
women,-1.035725960069199,0.0
resolute,1.4000311554380411,0.0
marry,1.2188602548052403,0.0
another,1.311389601774227,0.0
day,1.1325759853054902,0.0
next,1.1338343355881748,0.0
three,1.0201070473219602,0.0
days,-1.0413045310782996,0.0
fortunate,1.281217618144646,0.0
shall,1.0267910720611808,0.0
drop,1.1548958368766762,0.0
line,-1.0723172605215991,0.0
progress,-1.2056701620368917,0.0
anxiety,1.1613196715884273,0.0
provinces,-1.118451053769098,0.0
kingdom,-1.1402708781310344,0.0
expenses,-1.3400892149804962,0.0
bag,1.1725492599032783,0.0
laid,-1.0552127204178383,0.0
gold,1.0431599539724308,0.0
notes,1.062893261961836,0.0
book,1.0655031845968708,0.0
handed,1.2547454516997625,0.0
mademoiselle,1.0751568119616834,0.0
lodge,1.0290457877526948,0.0
avenue,1.213036696396235,0.0
st,1.0303528771958288,0.0
john,-1.0064678646718213,0.0
wood,1.146969981237059,0.0
question,1.0485238705937296,0.0
soon,1.3108176978028927,0.0
news,1.2358907960880092,0.0
added,1.2108979127109465,0.0
rolled,1.1680176826245243,0.0
morrow,1.1545855349282284,0.0
afternoon,1.3396200748927305,0.0
informed,1.2426357094903902,0.0
shortly,-1.1372246158728878,0.0
morning,1.1884482580436038,0.0
sat,1.3340144064050776,0.0
beside,1.3562288986822202,0.0
intention,1.1863027455819446,0.0
awaiting,1.2198672366800631,0.0
already,1.2183183892214982,0.0
inquiry,1.2841460436841765,0.0
surrounded,1.0601332469299984,0.0
features,-1.0563654866986192,0.0
crimes,-1.4419654367149384,0.0
recorded,-1.5804695908188569,0.0
station,1.2198126689793205,0.0
gave,1.2026710994348049,0.0
apart,-1.1274040047748086,0.0
investigation,-1.5492123370690365,0.0
something,1.4226703497152748,0.0
grasp,1.1562026570738215,0.0
situation,-1.2355730702834016,0.0
pleasure,1.3344511355768789,0.0
quick,1.2453472137322572,0.0
subtle,1.3162583755105377,0.0
methods,-1.2824541343926341,0.0
success,-1.138311581066001,0.0
possibility,-1.0829773729973269,0.0
failing,-1.2770131548530723,0.0
ceased,1.3122151186424995,0.0
enter,1.1204344823068249,0.0
close,1.1349714100808928,0.0
four,-1.01964733109317,0.0
opened,1.1136245095520827,0.0
drunken,1.6890601752003147,0.0
looking,1.5414846834204403,0.0
groom,1.6784737361619837,0.0
ill,1.146522171220037,0.0
inflamed,-1.1615686340294362,0.0
walked,1.3272885442015585,0.0
use,-1.1163118141854314,0.0
certain,-1.29720188357295,0.0
vanished,1.4716849582274247,0.0
bedroom,1.3762141631353697,0.0
